Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Gene Type	Input ID
PF3D7_0504000	PF3D7_0504000.1	P. falciparum 3D7	Pf3D7_05_v3:157,625..164,968(+)	cation transporting P-ATPase	protein coding	812921
PF3D7_0504700	PF3D7_0504700.1	P. falciparum 3D7	Pf3D7_05_v3:180,421..187,470(+)	centrosomal protein CEP120, putative	protein coding	812929
PF3D7_0504800	PF3D7_0504800.1	P. falciparum 3D7	Pf3D7_05_v3:187,813..204,732(-)	conserved Plasmodium protein, unknown function	protein coding	9221852
PF3D7_0505000	PF3D7_0505000.1	P. falciparum 3D7	Pf3D7_05_v3:209,062..218,189(-)	MMS19-like protein, putative	protein coding	812909
PF3D7_0505700	PF3D7_0505700.1	P. falciparum 3D7	Pf3D7_05_v3:247,801..250,575(-)	conserved Plasmodium membrane protein, unknown function	protein coding	812903
PF3D7_0505800	PF3D7_0505800.1	P. falciparum 3D7	Pf3D7_05_v3:252,047..252,606(-)	small ubiquitin-related modifier	protein coding	812904
PF3D7_0505900	PF3D7_0505900.1	P. falciparum 3D7	Pf3D7_05_v3:254,473..255,517(-)	mediator of RNA polymerase II transcription subunit 11, putative	protein coding	812902
PF3D7_0507100	PF3D7_0507100.1	P. falciparum 3D7	Pf3D7_05_v3:294,668..295,903(-)	60S ribosomal protein L4	protein coding	812881
PF3D7_0507600	PF3D7_0507600.1	P. falciparum 3D7	Pf3D7_05_v3:313,199..315,157(+)	protein CAF40, putative	protein coding	812876
PF3D7_0507800	PF3D7_0507800.1	P. falciparum 3D7	Pf3D7_05_v3:322,239..326,822(+)	conserved protein, unknown function	protein coding	812873
PF3D7_0508000	PF3D7_0508000.1	P. falciparum 3D7	Pf3D7_05_v3:328,666..329,715(-)	6-cysteine protein	protein coding	812868
PF3D7_0508700	PF3D7_0508700.1	P. falciparum 3D7	Pf3D7_05_v3:358,261..362,733(+)	pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative	protein coding	812854
PF3D7_0508900	PF3D7_0508900.1	P. falciparum 3D7	Pf3D7_05_v3:367,022..376,426(+)	conserved Plasmodium protein, unknown function	protein coding	812856
PF3D7_0509100	PF3D7_0509100.1	P. falciparum 3D7	Pf3D7_05_v3:381,077..386,203(+)	structural maintenance of chromosomes protein 4, putative	protein coding	812851
PF3D7_0509400	PF3D7_0509400.1	P. falciparum 3D7	Pf3D7_05_v3:389,914..398,997(-)	RNA polymerase I	protein coding	812845
PF3D7_0509800	PF3D7_0509800.1	P. falciparum 3D7	Pf3D7_05_v3:410,268..415,308(+)	phosphatidylinositol 4-kinase	protein coding	812838
PF3D7_0510100	PF3D7_0510100.1	P. falciparum 3D7	Pf3D7_05_v3:422,746..430,353(-)	conserved protein, unknown function	protein coding	812835
PF3D7_0511000	PF3D7_0511000.1	P. falciparum 3D7	Pf3D7_05_v3:467,585..468,100(-)	translationally-controlled tumor protein homolog	protein coding	812831
PF3D7_0511500	PF3D7_0511500.1	P. falciparum 3D7	Pf3D7_05_v3:486,602..516,787(+)	RNA pseudouridylate synthase, putative	protein coding	812939
PF3D7_0511800	PF3D7_0511800.1	P. falciparum 3D7	Pf3D7_05_v3:520,720..522,693(-)	inositol-3-phosphate synthase	protein coding	812935
PF3D7_0512000	PF3D7_0512000.1	P. falciparum 3D7	Pf3D7_05_v3:527,639..528,666(+)	prefoldin subunit 6, putative	protein coding	812934
PF3D7_0513300	PF3D7_0513300.1	P. falciparum 3D7	Pf3D7_05_v3:569,182..569,919(-)	purine nucleoside phosphorylase	protein coding	812947
PF3D7_0513600	PF3D7_0513600.1	P. falciparum 3D7	Pf3D7_05_v3:574,941..578,505(-)	deoxyribodipyrimidine photo-lyase, putative	protein coding	812950
PF3D7_0515000	PF3D7_0515000.1	P. falciparum 3D7	Pf3D7_05_v3:620,810..623,356(-)	pre-mRNA-splicing factor CWC2, putative	protein coding	812964
PF3D7_0515400	PF3D7_0515400.1	P. falciparum 3D7	Pf3D7_05_v3:637,354..640,381(+)	conserved protein, unknown function	protein coding	812968
PF3D7_0515700	PF3D7_0515700.1	P. falciparum 3D7	Pf3D7_05_v3:653,966..655,336(-)	glideosome-associated protein 40, putative	protein coding	812971
PF3D7_0516600	PF3D7_0516600.1	P. falciparum 3D7	Pf3D7_05_v3:686,810..691,642(-)	sporozoite surface antigen MB2	protein coding	812981
PF3D7_0516700	PF3D7_0516700.1	P. falciparum 3D7	Pf3D7_05_v3:694,492..698,778(+)	ubiquitin carboxyl-terminal hydrolase 2, putative	protein coding	812982
PF3D7_0516800	PF3D7_0516800.1	P. falciparum 3D7	Pf3D7_05_v3:700,120..707,256(-)	AP2 domain transcription factor AP2-O2, putative	protein coding	812983
PF3D7_0516900	PF3D7_0516900.1	P. falciparum 3D7	Pf3D7_05_v3:712,762..713,772(-)	60S ribosomal protein L2	protein coding	812984
PF3D7_0517300	PF3D7_0517300.1	P. falciparum 3D7	Pf3D7_05_v3:724,681..725,751(-)	serine/arginine-rich splicing factor 1	protein coding	812988
PF3D7_0517400	PF3D7_0517400.1	P. falciparum 3D7	Pf3D7_05_v3:731,407..735,162(+)	FACT complex subunit SPT16, putative	protein coding	812989
PF3D7_0517700	PF3D7_0517700.1	P. falciparum 3D7	Pf3D7_05_v3:743,179..745,329(+)	eukaryotic translation initiation factor 3 subunit B, putative	protein coding	812992
PF3D7_0517900	PF3D7_0517900.1	P. falciparum 3D7	Pf3D7_05_v3:747,795..749,677(-)	zinc finger protein, putative	protein coding	812994
PF3D7_0518100	PF3D7_0518100.1	P. falciparum 3D7	Pf3D7_05_v3:753,298..757,544(+)	protein AMR2	protein coding	812996
PF3D7_0518300	PF3D7_0518300.1	P. falciparum 3D7	Pf3D7_05_v3:759,831..760,998(-)	proteasome subunit beta type-1, putative	protein coding	812998
PF3D7_0519500	PF3D7_0519500.1	P. falciparum 3D7	Pf3D7_05_v3:801,450..809,127(-)	CCR4 domain-containing protein 1, putative	protein coding	813011
PF3D7_0519700	PF3D7_0519700.1	P. falciparum 3D7	Pf3D7_05_v3:817,066..819,139(+)	FoP domain-containing protein, putative	protein coding	813013
PF3D7_0519800	PF3D7_0519800.1	P. falciparum 3D7	Pf3D7_05_v3:820,719..822,908(-)	EELM2 domain-containing protein, putative	protein coding	813014
PF3D7_0520000	PF3D7_0520000.1	P. falciparum 3D7	Pf3D7_05_v3:828,953..829,883(+)	40S ribosomal protein S9, putative	protein coding	813016
PF3D7_0520300	PF3D7_0520300.1	P. falciparum 3D7	Pf3D7_05_v3:838,428..839,083(+)	U6 snRNA-associated Sm-like protein LSm2, putative	protein coding	813019
PF3D7_0520500	PF3D7_0520500.1	P. falciparum 3D7	Pf3D7_05_v3:841,723..842,655(-)	phosphomethylpyrimidine kinase, putative	protein coding	813021
PF3D7_0520900	PF3D7_0520900.1	P. falciparum 3D7	Pf3D7_05_v3:857,038..858,477(+)	adenosylhomocysteinase	protein coding	813025
PF3D7_0522100	PF3D7_0522100.1	P. falciparum 3D7	Pf3D7_05_v3:897,465..899,756(-)	conserved Plasmodium protein, unknown function	protein coding	813036
PF3D7_0522400	PF3D7_0522400.1	P. falciparum 3D7	Pf3D7_05_v3:907,837..936,315(+)	conserved Plasmodium protein, unknown function	protein coding	813039
PF3D7_0524000	PF3D7_0524000.1	P. falciparum 3D7	Pf3D7_05_v3:998,753..1,002,124(+)	karyopherin beta	protein coding	813054
PF3D7_0524600	PF3D7_0524600.1	P. falciparum 3D7	Pf3D7_05_v3:1,017,809..1,018,582(+)	50S ribosomal protein L12, apicoplast, putative	protein coding	813060
PF3D7_0525000	PF3D7_0525000.1	P. falciparum 3D7	Pf3D7_05_v3:1,036,229..1,038,343(+)	zinc finger protein, putative	protein coding	813064
PF3D7_0525100	PF3D7_0525100.1	P. falciparum 3D7	Pf3D7_05_v3:1,041,745..1,043,766(+)	acyl-CoA synthetase	protein coding	813065
PF3D7_0525800	PF3D7_0525800.1	P. falciparum 3D7	Pf3D7_05_v3:1,071,247..1,072,149(+)	inner membrane complex protein 1g, putative	protein coding	813073
PF3D7_0526500	PF3D7_0526500.1	P. falciparum 3D7	Pf3D7_05_v3:1,090,930..1,095,084(+)	conserved Plasmodium protein, unknown function	protein coding	813080
PF3D7_0526600	PF3D7_0526600.1	P. falciparum 3D7	Pf3D7_05_v3:1,101,203..1,114,777(+)	conserved Plasmodium protein, unknown function	protein coding	813081
PF3D7_0526700	PF3D7_0526700.1	P. falciparum 3D7	Pf3D7_05_v3:1,117,261..1,119,651(-)	conserved protein, unknown function	protein coding	813082
PF3D7_0526800	PF3D7_0526800.1	P. falciparum 3D7	Pf3D7_05_v3:1,120,704..1,121,810(-)	conserved Plasmodium protein, unknown function	protein coding	813083
PF3D7_0526900	PF3D7_0526900.1	P. falciparum 3D7	Pf3D7_05_v3:1,123,610..1,124,595(+)	transmembrane emp24 domain-containing protein, putative	protein coding	813084
PF3D7_0527000	PF3D7_0527000.1	P. falciparum 3D7	Pf3D7_05_v3:1,125,099..1,128,146(-)	DNA replication licensing factor MCM3, putative	protein coding	813085
PF3D7_0527100	PF3D7_0527100.1	P. falciparum 3D7	Pf3D7_05_v3:1,129,959..1,130,754(-)	ubiquitin-conjugating enzyme E2 N, putative	protein coding	813086
PF3D7_0527200	PF3D7_0527200.1	P. falciparum 3D7	Pf3D7_05_v3:1,132,937..1,134,854(-)	ubiquitin carboxyl-terminal hydrolase 14	protein coding	813087
PF3D7_0527500	PF3D7_0527500.1	P. falciparum 3D7	Pf3D7_05_v3:1,143,618..1,145,359(+)	Hsc70-interacting protein	protein coding	813090
PF3D7_0528100	PF3D7_0528100.1	P. falciparum 3D7	Pf3D7_05_v3:1,157,840..1,161,553(-)	AP-1 complex subunit beta, putative	protein coding	813094
PF3D7_0528200	PF3D7_0528200.1	P. falciparum 3D7	Pf3D7_05_v3:1,163,408..1,165,072(-)	eukaryotic translation initiation factor 3 subunit E, putative	protein coding	813095
PF3D7_0528800	PF3D7_0528800.1	P. falciparum 3D7	Pf3D7_05_v3:1,180,425..1,182,038(-)	nucleolar preribosomal GTPase, putative	protein coding	813101
PF3D7_0529400	PF3D7_0529400.1	P. falciparum 3D7	Pf3D7_05_v3:1,199,165..1,205,187(+)	conserved Plasmodium protein, unknown function	protein coding	813107
PF3D7_0529400	PF3D7_0529400.2	P. falciparum 3D7	Pf3D7_05_v3:1,199,165..1,205,187(+)	conserved Plasmodium protein, unknown function	protein coding	813107
PF3D7_0529800	PF3D7_0529800.1	P. falciparum 3D7	Pf3D7_05_v3:1,213,533..1,219,376(+)	conserved Plasmodium protein, unknown function	protein coding	813110
PF3D7_0530300	PF3D7_0530300.1	P. falciparum 3D7	Pf3D7_05_v3:1,233,401..1,238,086(+)	conserved Plasmodium membrane protein, unknown function	protein coding	813116
PF3D7_0530600	PF3D7_0530600.1	P. falciparum 3D7	Pf3D7_05_v3:1,248,368..1,249,961(-)	XAP-5 DNA binding protein, putative	protein coding	813119
PF3D7_0530900	PF3D7_0530900.1	P. falciparum 3D7	Pf3D7_05_v3:1,257,723..1,265,750(-)	formin 1	protein coding	812822
PF3D7_0531100	PF3D7_0531100.1	P. falciparum 3D7	Pf3D7_05_v3:1,270,388..1,278,484(-)	conserved Plasmodium protein, unknown function	protein coding	813123
PF3D7_0531400	PF3D7_0531400.1	P. falciparum 3D7	Pf3D7_05_v3:1,282,591..1,286,106(-)	conserved Plasmodium protein, unknown function	protein coding	813126
PF3D7_0532100	PF3D7_0532100.1	P. falciparum 3D7	Pf3D7_05_v3:1,301,224..1,301,769(+)	early transcribed membrane protein 5	protein coding	813127
PF3D7_0532300	PF3D7_0532300.1	P. falciparum 3D7	Pf3D7_05_v3:1,308,278..1,309,940(+)	Plasmodium exported protein (PHISTb), unknown function	protein coding	813129
PF3D7_0532400	PF3D7_0532400.1	P. falciparum 3D7	Pf3D7_05_v3:1,312,471..1,314,154(+)	lysine-rich membrane-associated PHISTb protein	protein coding	813130
PF3D7_0533100	PF3D7_0533100.1	P. falciparum 3D7	Pf3D7_05_v3:1,333,470..1,342,964(+)	erythrocyte membrane protein 1 (PfEMP1), pseudogene	protein coding	813137
PF3D7_0601900	PF3D7_0601900.1	P. falciparum 3D7	Pf3D7_06_v3:78,190..78,784(+)	conserved Plasmodium protein, unknown function	protein coding	3885736
PF3D7_0602000	PF3D7_0602000.1	P. falciparum 3D7	Pf3D7_06_v3:82,609..86,922(-)	zinc finger protein, putative	protein coding	3885737
PF3D7_0603100	PF3D7_0603100.1	P. falciparum 3D7	Pf3D7_06_v3:125,458..126,816(-)	RNA-binding protein, putative	protein coding	3885964
PF3D7_0603400	PF3D7_0603400.1	P. falciparum 3D7	Pf3D7_06_v3:133,150..136,461(-)	trophozoite exported protein 1	protein coding	3885786
PF3D7_0603800	PF3D7_0603800.1	P. falciparum 3D7	Pf3D7_06_v3:152,541..160,455(-)	centrosomal protein CEP76, putative	protein coding	3885790
PF3D7_0604100	PF3D7_0604100.1	P. falciparum 3D7	Pf3D7_06_v3:171,301..177,240(-)	AP2 domain transcription factor	protein coding	3885840
PF3D7_0604300	PF3D7_0604300.1	P. falciparum 3D7	Pf3D7_06_v3:182,216..184,537(+)	conserved Plasmodium protein, unknown function	protein coding	3885842
PF3D7_0604500	PF3D7_0604500.1	P. falciparum 3D7	Pf3D7_06_v3:189,012..198,078(+)	conserved Plasmodium protein, unknown function	protein coding	3885844
PF3D7_0605800	PF3D7_0605800.1	P. falciparum 3D7	Pf3D7_06_v3:237,811..244,521(-)	DNA repair protein RAD50, putative	protein coding	3885706
PF3D7_0606000	PF3D7_0606000.1	P. falciparum 3D7	Pf3D7_06_v3:250,612..253,803(-)	conserved Plasmodium protein, unknown function	protein coding	3885780
PF3D7_0606600	PF3D7_0606600.1	P. falciparum 3D7	Pf3D7_06_v3:270,332..277,762(-)	conserved Plasmodium protein, unknown function	protein coding	3885882
PF3D7_0607600	PF3D7_0607600.1	P. falciparum 3D7	Pf3D7_06_v3:313,856..316,882(-)	spindle assembly abnormal protein 6, putative	protein coding	3885833
PF3D7_0608500	PF3D7_0608500.1	P. falciparum 3D7	Pf3D7_06_v3:351,780..352,775(-)	proteasome subunit alpha type-2, putative	protein coding	3885908
PF3D7_0608700	PF3D7_0608700.1	P. falciparum 3D7	Pf3D7_06_v3:358,391..360,203(+)	T-complex protein 1 subunit zeta	protein coding	3885910
PF3D7_0609000	PF3D7_0609000.1	P. falciparum 3D7	Pf3D7_06_v3:370,261..388,494(+)	nucleoporin NUP637, putative	protein coding	3885933
PF3D7_0609300	PF3D7_0609300.1	P. falciparum 3D7	Pf3D7_06_v3:396,242..399,289(+)	conserved Plasmodium protein, unknown function	protein coding	3885936
PF3D7_0609700	PF3D7_0609700.1	P. falciparum 3D7	Pf3D7_06_v3:413,652..419,781(+)	conserved Plasmodium protein, unknown function	protein coding	3885877
PF3D7_0610200	PF3D7_0610200.1	P. falciparum 3D7	Pf3D7_06_v3:437,663..440,545(-)	RNA-binding protein 25, putative	protein coding	3885919
PF3D7_0610400	PF3D7_0610400.1	P. falciparum 3D7	Pf3D7_06_v3:444,747..445,157(+)	histone H3	protein coding	3885920
PF3D7_0610800	PF3D7_0610800.1	P. falciparum 3D7	Pf3D7_06_v3:453,671..455,689(+)	transketolase	protein coding	3885924
PF3D7_0610900	PF3D7_0610900.1	P. falciparum 3D7	Pf3D7_06_v3:456,747..460,589(-)	transcription elongation factor SPT5, putative	protein coding	3885925
PF3D7_0611600	PF3D7_0611600.1	P. falciparum 3D7	Pf3D7_06_v3:485,114..487,066(-)	basal complex transmembrane protein 1	protein coding	3885958
PF3D7_0611800	PF3D7_0611800.1	P. falciparum 3D7	Pf3D7_06_v3:490,858..501,140(-)	conserved Plasmodium protein, unknown function	protein coding	3885926
PF3D7_0612100	PF3D7_0612100.1	P. falciparum 3D7	Pf3D7_06_v3:509,160..511,130(-)	eukaryotic translation initiation factor 3 subunit L, putative	protein coding	3885929
PF3D7_0612200	PF3D7_0612200.1	P. falciparum 3D7	Pf3D7_06_v3:512,972..519,548(-)	leucine-rich repeat protein	protein coding	3885930
PF3D7_0612900	PF3D7_0612900.1	P. falciparum 3D7	Pf3D7_06_v3:531,126..533,186(+)	nucleolar GTP-binding protein 1, putative	protein coding	3885777
PF3D7_0613600	PF3D7_0613600.1	P. falciparum 3D7	Pf3D7_06_v3:554,457..558,228(+)	conserved Plasmodium protein, unknown function	protein coding	3885758
PF3D7_0613700	PF3D7_0613700.1	P. falciparum 3D7	Pf3D7_06_v3:559,349..561,460(-)	syntaxin-binding protein, putative	protein coding	3885715
PF3D7_0613800	PF3D7_0613800.1	P. falciparum 3D7	Pf3D7_06_v3:566,139..578,993(+)	AP2 domain transcription factor, putative	protein coding	3885716
PF3D7_0613900	PF3D7_0613900.1	P. falciparum 3D7	Pf3D7_06_v3:579,435..585,896(-)	myosin E, putative	protein coding	3885717
PF3D7_0614100	PF3D7_0614100.1	P. falciparum 3D7	Pf3D7_06_v3:589,457..592,264(-)	conserved Plasmodium protein, unknown function	protein coding	3885719
PF3D7_0614500	PF3D7_0614500.1	P. falciparum 3D7	Pf3D7_06_v3:606,142..607,259(-)	60S ribosomal protein L19	protein coding	3885805
PF3D7_0615400	PF3D7_0615400.1	P. falciparum 3D7	Pf3D7_06_v3:630,956..640,174(-)	ribonuclease, putative	protein coding	3885866
PF3D7_0615900	PF3D7_0615900.1	P. falciparum 3D7	Pf3D7_06_v3:662,435..667,855(-)	protein phosphatase, putative	protein coding	3885896
PF3D7_0616200	PF3D7_0616200.1	P. falciparum 3D7	Pf3D7_06_v3:674,118..676,375(+)	kinetochore protein NDC80, putative	protein coding	3885899
PF3D7_0616500	PF3D7_0616500.1	P. falciparum 3D7	Pf3D7_06_v3:684,742..688,857(+)	TRAP-like protein	protein coding	3885982
PF3D7_0616600	PF3D7_0616600.1	P. falciparum 3D7	Pf3D7_06_v3:689,254..691,131(-)	conserved protein, unknown function	protein coding	3885983
PF3D7_0617100	PF3D7_0617100.1	P. falciparum 3D7	Pf3D7_06_v3:710,059..714,576(+)	AP-2 complex subunit alpha, putative	protein coding	3885988
PF3D7_0617200	PF3D7_0617200.1	P. falciparum 3D7	Pf3D7_06_v3:717,050..718,917(+)	conserved protein, unknown function	protein coding	3885792
PF3D7_0617400	PF3D7_0617400.1	P. falciparum 3D7	Pf3D7_06_v3:723,117..731,490(-)	erythrocyte membrane protein 1, PfEMP1	protein coding	3885794
PF3D7_0617900	PF3D7_0617900.1	P. falciparum 3D7	Pf3D7_06_v3:754,395..754,805(+)	histone H3 variant	protein coding	3885798
PF3D7_0618200	PF3D7_0618200.1	P. falciparum 3D7	Pf3D7_06_v3:764,667..765,492(-)	conserved protein, unknown function	protein coding	3885801
PF3D7_0618300	PF3D7_0618300.1	P. falciparum 3D7	Pf3D7_06_v3:768,792..769,456(+)	60S ribosomal protein L27a, putative	protein coding	3885802
PF3D7_0618900	PF3D7_0618900.1	P. falciparum 3D7	Pf3D7_06_v3:784,354..788,027(+)	phosphatidylinositol N-acetylglucosaminyltransferase subunit GPI1	protein coding	3885848
PF3D7_0618900	PF3D7_0618900.2	P. falciparum 3D7	Pf3D7_06_v3:784,354..788,027(+)	phosphatidylinositol N-acetylglucosaminyltransferase subunit GPI1	protein coding	3885848
PF3D7_0619000	PF3D7_0619000.1	P. falciparum 3D7	Pf3D7_06_v3:788,707..796,025(-)	conserved protein, unknown function	protein coding	3885849
PF3D7_0619000	PF3D7_0619000.2	P. falciparum 3D7	Pf3D7_06_v3:788,707..796,025(-)	conserved protein, unknown function	protein coding	3885849
PF3D7_0619200	PF3D7_0619200.1	P. falciparum 3D7	Pf3D7_06_v3:799,397..802,789(+)	conserved Plasmodium protein, unknown function	protein coding	3885940
PF3D7_0619400	PF3D7_0619400.1	P. falciparum 3D7	Pf3D7_06_v3:815,622..818,247(-)	cell division cycle protein 48 homologue, putative	protein coding	3885942
PF3D7_0620400	PF3D7_0620400.1	P. falciparum 3D7	Pf3D7_06_v3:851,378..852,955(-)	merozoite surface protein 10	protein coding	3885968
PF3D7_0620500	PF3D7_0620500.1	P. falciparum 3D7	Pf3D7_06_v3:855,160..857,112(+)	cleavage stimulation factor subunit 1, putative	protein coding	3885969
PF3D7_0621800	PF3D7_0621800.1	P. falciparum 3D7	Pf3D7_06_v3:891,997..892,777(+)	nascent polypeptide-associated complex subunit alpha, putative	protein coding	3885894
PF3D7_0622800	PF3D7_0622800.1	P. falciparum 3D7	Pf3D7_06_v3:919,685..924,028(+)	leucine--tRNA ligase, putative	protein coding	3885858
PF3D7_0622900	PF3D7_0622900.1	P. falciparum 3D7	Pf3D7_06_v3:925,105..931,074(-)	AP2 domain transcription factor AP2Tel	protein coding	3885859
PF3D7_0623100	PF3D7_0623100.1	P. falciparum 3D7	Pf3D7_06_v3:939,660..943,720(-)	nuclear polyadenylated RNA-binding protein NAB2, putative	protein coding	3885861
PF3D7_0623800	PF3D7_0623800.1	P. falciparum 3D7	Pf3D7_06_v3:963,741..970,955(-)	tyrosine kinase-like protein, putative	protein coding	3885874
PF3D7_0624000	PF3D7_0624000.1	P. falciparum 3D7	Pf3D7_06_v3:981,066..982,547(+)	hexokinase	protein coding	3885912
PF3D7_0624200	PF3D7_0624200.1	P. falciparum 3D7	Pf3D7_06_v3:985,047..986,870(-)	conserved Plasmodium protein, unknown function	protein coding	3885914
PF3D7_0624600	PF3D7_0624600.1	P. falciparum 3D7	Pf3D7_06_v3:999,524..1,007,683(+)	SNF2 helicase, putative	protein coding	3885918
PF3D7_0625200	PF3D7_0625200.1	P. falciparum 3D7	Pf3D7_06_v3:1,025,179..1,026,336(+)	conserved Plasmodium protein, unknown function	protein coding	3885686
PF3D7_0626800	PF3D7_0626800.1	P. falciparum 3D7	Pf3D7_06_v3:1,078,995..1,081,320(+)	pyruvate kinase	protein coding	3885761
PF3D7_0627100	PF3D7_0627100.1	P. falciparum 3D7	Pf3D7_06_v3:1,089,190..1,094,328(+)	ankyrin-repeat protein, putative	protein coding	3885764
PF3D7_0627300	PF3D7_0627300.1	P. falciparum 3D7	Pf3D7_06_v3:1,097,300..1,098,649(-)	E3 ubiquitin-protein ligase RNF5, putative	protein coding	3885693
PF3D7_0628100	PF3D7_0628100.1	P. falciparum 3D7	Pf3D7_06_v3:1,122,801..1,153,664(-)	HECT-domain (ubiquitin-transferase), putative	protein coding	3885722
PF3D7_0628200	PF3D7_0628200.1	P. falciparum 3D7	Pf3D7_06_v3:1,159,862..1,169,080(+)	eukaryotic translation initiation factor 2-alpha kinase	protein coding	3885723
PF3D7_0628700	PF3D7_0628700.1	P. falciparum 3D7	Pf3D7_06_v3:1,183,896..1,185,617(+)	conserved Plasmodium protein, unknown function	protein coding	3885727
PF3D7_0628800	PF3D7_0628800.1	P. falciparum 3D7	Pf3D7_06_v3:1,185,996..1,188,644(-)	glutamyl-tRNA(Gln) amidotransferase subunit B	protein coding	3885728
PF3D7_0629200	PF3D7_0629200.1	P. falciparum 3D7	Pf3D7_06_v3:1,199,853..1,200,995(-)	DnaJ protein, putative	protein coding	3885732
PF3D7_0629400	PF3D7_0629400.1	P. falciparum 3D7	Pf3D7_06_v3:1,210,420..1,212,762(+)	polyadenylate-binding protein 3, putative	protein coding	3885734
PF3D7_0629700	PF3D7_0629700.1	P. falciparum 3D7	Pf3D7_06_v3:1,221,941..1,242,922(+)	SET domain protein, putative	protein coding	3885750
PF3D7_0629900	PF3D7_0629900.1	P. falciparum 3D7	Pf3D7_06_v3:1,250,412..1,251,651(+)	sec14-like cytosolic factor or phosphatidylinositol/phosphatidylcholine transfer protein, putative	protein coding	3885752
PF3D7_0630300	PF3D7_0630300.1	P. falciparum 3D7	Pf3D7_06_v3:1,260,398..1,269,596(-)	DNA polymerase epsilon catalytic subunit A, putative	protein coding	3885768
PF3D7_0630600	PF3D7_0630600.1	P. falciparum 3D7	Pf3D7_06_v3:1,279,820..1,283,246(+)	conserved protein, unknown function	protein coding	3885771
PF3D7_0632500	PF3D7_0632500.1	P. falciparum 3D7	Pf3D7_06_v3:1,353,946..1,366,430(-)	erythrocyte membrane protein 1, PfEMP1	protein coding	3885829
PF3D7_0702100	PF3D7_0702100.1	P. falciparum 3D7	Pf3D7_07_v3:88,685..90,886(+)	Plasmodium exported protein (PHISTb), unknown function, pseudogene	protein coding	2655018
PF3D7_0702300	PF3D7_0702300.1	P. falciparum 3D7	Pf3D7_07_v3:96,761..98,730(+)	sporozoite threonine and asparagine-rich protein	protein coding	2654973
PF3D7_0702900	PF3D7_0702900.1	P. falciparum 3D7	Pf3D7_07_v3:113,144..113,948(-)	centrin, putative	protein coding	2654952
PF3D7_0703200	PF3D7_0703200.1	P. falciparum 3D7	Pf3D7_07_v3:122,513..127,135(-)	conserved Plasmodium protein, unknown function	protein coding	2654979
PF3D7_0703500	PF3D7_0703500.1	P. falciparum 3D7	Pf3D7_07_v3:135,606..142,505(+)	erythrocyte membrane-associated antigen	protein coding	2655186
PF3D7_0703600	PF3D7_0703600.1	P. falciparum 3D7	Pf3D7_07_v3:144,019..145,953(+)	conserved protein, unknown function	protein coding	2655153
PF3D7_0704000	PF3D7_0704000.1	P. falciparum 3D7	Pf3D7_07_v3:167,489..177,295(-)	conserved Plasmodium membrane protein, unknown function	protein coding	2655036
PF3D7_0704100	PF3D7_0704100.1	P. falciparum 3D7	Pf3D7_07_v3:180,036..190,715(+)	conserved Plasmodium membrane protein, unknown function	protein coding	2654991
PF3D7_0704300	PF3D7_0704300.1	P. falciparum 3D7	Pf3D7_07_v3:197,691..203,249(+)	conserved Plasmodium membrane protein, unknown function	protein coding	2654983
PF3D7_0704600	PF3D7_0704600.1	P. falciparum 3D7	Pf3D7_07_v3:216,024..229,072(-)	E3 ubiquitin-protein ligase	protein coding	2654946
PF3D7_0704900	PF3D7_0704900.1	P. falciparum 3D7	Pf3D7_07_v3:243,898..245,016(-)	peptide chain release factor 2	protein coding	2655192
PF3D7_0705000	PF3D7_0705000.1	P. falciparum 3D7	Pf3D7_07_v3:246,259..250,152(-)	mRNA cap guanine-N7 methyltransferase, putative	protein coding	2655056
PF3D7_0705100	PF3D7_0705100.1	P. falciparum 3D7	Pf3D7_07_v3:252,282..255,251(+)	conserved Plasmodium protein, unknown function	protein coding	2655057
PF3D7_0705300	PF3D7_0705300.1	P. falciparum 3D7	Pf3D7_07_v3:261,977..264,454(+)	origin recognition complex subunit 2	protein coding	2655193
PF3D7_0705400	PF3D7_0705400.1	P. falciparum 3D7	Pf3D7_07_v3:264,973..267,438(-)	DNA replication licensing factor MCM7	protein coding	2655059
PF3D7_0705500	PF3D7_0705500.1	P. falciparum 3D7	Pf3D7_07_v3:270,022..278,706(-)	inositol-phosphate phosphatase, putative	protein coding	2655060
PF3D7_0707700	PF3D7_0707700.1	P. falciparum 3D7	Pf3D7_07_v3:357,700..360,585(+)	E3 ubiquitin-protein ligase, putative	protein coding	2655062
PF3D7_0707900	PF3D7_0707900.1	P. falciparum 3D7	Pf3D7_07_v3:366,929..367,708(+)	ribosomal protein S8e, putative	protein coding	2655196
PF3D7_0708400	PF3D7_0708400.1	P. falciparum 3D7	Pf3D7_07_v3:381,592..384,614(+)	heat shock protein 90	protein coding	2655065
PF3D7_0708800	PF3D7_0708800.1	P. falciparum 3D7	Pf3D7_07_v3:395,711..398,332(+)	heat shock protein 110	protein coding	2655069
PF3D7_0710000	PF3D7_0710000.1	P. falciparum 3D7	Pf3D7_07_v3:447,515..458,496(-)	conserved Plasmodium protein, unknown function	protein coding	2655203
PF3D7_0710200	PF3D7_0710200.1	P. falciparum 3D7	Pf3D7_07_v3:463,105..471,837(+)	conserved Plasmodium protein, unknown function	protein coding	2655090
